,STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
544,TOTAL (UTs),2010,Student,20,89,1,0,0,110,21,85,3,2,0,111,221
545,TOTAL (UTs),2010,Unemployed,0,136,103,43,32,314,3,68,12,0,7,90,404
546,TOTAL (UTs),2010,Self-employed (Business activity),0,17,23,12,1,53,0,0,0,0,0,0,53
547,TOTAL (UTs),2010,Professional Activity,0,35,100,68,5,208,0,2,1,2,1,6,214
548,TOTAL (UTs),2010,Farming/Agriculture Activity,0,5,13,8,5,31,0,0,0,0,0,0,31
549,TOTAL (UTs),2010,Others (Please Specify),0,65,79,37,11,192,2,34,6,1,1,44,236
550,TOTAL (UTs),2010,Retired Person,0,0,0,0,16,16,0,0,0,0,0,0,16
551,TOTAL (UTs),2010,Others (Please Specify),5,76,57,27,11,176,3,26,12,1,1,43,219
552,TOTAL (UTs),2010,Total,25,574,543,255,96,1493,29,543,220,56,32,880,2373
553,TOTAL (UTs),2010,Total Salaried,0,151,167,60,15,393,0,45,11,1,0,57,450
554,TOTAL (UTs),2010,Total Self-employed,0,122,215,125,22,484,2,36,7,3,2,50,534
555,TOTAL (ALL INDIA),2010,House Wife,0,0,0,0,0,0,58,11008,8564,3798,1630,25058,25058
556,TOTAL (ALL INDIA),2010,Service (Government),0,305,649,456,27,1437,0,205,145,52,3,405,1842
557,TOTAL (ALL INDIA),2010,Service (Private),14,2904,3605,2188,288,8999,9,770,492,193,39,1503,10502
558,TOTAL (ALL INDIA),2010,Public Sector Undertaking,18,648,1036,630,124,2456,1,175,178,74,16,444,2900
559,TOTAL (ALL INDIA),2010,Student,717,3134,137,42,7,4037,693,2568,71,10,0,3342,7379
560,TOTAL (ALL INDIA),2010,Unemployed,52,2964,3182,1483,563,8244,31,895,548,192,123,1789,10033
561,TOTAL (ALL INDIA),2010,Self-employed (Business activity),3,1891,2564,1692,454,6604,12,216,191,100,31,550,7154
562,TOTAL (ALL INDIA),2010,Professional Activity,4,1024,1479,908,291,3706,8,139,134,55,17,353,4059
563,TOTAL (ALL INDIA),2010,Farming/Agriculture Activity,58,3416,5082,3616,1420,13592,46,889,759,453,225,2372,15964
564,TOTAL (ALL INDIA),2010,Others (Please Specify),313,6074,7729,5535,2244,21895,236,2479,1953,1140,449,6257,28152
565,TOTAL (ALL INDIA),2010,Retired Person,0,16,17,141,578,752,0,12,2,31,101,146,898
566,TOTAL (ALL INDIA),2010,Others (Please Specify),461,4011,4964,4077,1945,15458,396,1882,1365,1023,534,5200,20658
567,TOTAL (ALL INDIA),2010,Total,1640,26387,30444,20768,7941,87180,1490,21238,14402,7121,3168,47419,134599
568,TOTAL (ALL INDIA),2010,Total Salaried,32,3857,5290,3274,439,12892,10,1150,815,319,58,2352,15244
569,TOTAL (ALL INDIA),2010,Total Self-employed,378,12405,16854,11751,4409,45797,302,3723,3037,1748,722,9532,55329
0,ANDHRA PRADESH,2011,House Wife,0,0,0,0,0,0,1,1007,832,332,116,2288,2288
1,ANDHRA PRADESH,2011,Service (Government),0,12,41,36,0,89,0,10,8,2,0,20,109
2,ANDHRA PRADESH,2011,Service (Private),0,311,543,419,114,1387,0,91,104,36,12,243,1630
3,ANDHRA PRADESH,2011,Public Sector Undertaking,0,99,83,81,25,288,0,22,51,3,3,79,367
4,ANDHRA PRADESH,2011,Student,45,235,7,0,0,287,59,216,1,0,0,276,563
5,ANDHRA PRADESH,2011,Unemployed,0,181,248,98,8,535,0,59,30,14,4,107,642
6,ANDHRA PRADESH,2011,Self-employed (Business activity),0,275,311,263,112,961,0,69,39,22,3,133,1094
7,ANDHRA PRADESH,2011,Professional Activity,0,116,123,76,25,340,0,21,11,9,11,52,392
8,ANDHRA PRADESH,2011,Farming/Agriculture Activity,5,463,670,541,143,1822,3,202,102,67,10,384,2206
9,ANDHRA PRADESH,2011,Others (Please Specify),34,707,903,559,280,2483,47,342,221,105,98,813,3296
10,ANDHRA PRADESH,2011,Retired Person,0,0,0,5,30,35,0,0,0,1,5,6,41
11,ANDHRA PRADESH,2011,Others (Please Specify),28,429,622,632,182,1893,33,245,156,72,50,556,2449
12,ANDHRA PRADESH,2011,Total,112,2828,3551,2710,919,10120,143,2284,1555,663,312,4957,15077
13,ANDHRA PRADESH,2011,Total Salaried,0,422,667,536,139,1764,0,123,163,41,15,342,2106
14,ANDHRA PRADESH,2011,Total Self-employed,39,1561,2007,1439,560,5606,50,634,373,203,122,1382,6988
15,ARUNACHAL PRADESH,2011,House Wife,0,0,0,0,0,0,0,11,8,1,1,21,21
16,ARUNACHAL PRADESH,2011,Service (Government),0,2,9,5,0,16,0,0,0,0,0,0,16
17,ARUNACHAL PRADESH,2011,Service (Private),0,9,4,1,1,15,0,0,0,0,0,0,15
18,ARUNACHAL PRADESH,2011,Public Sector Undertaking,0,2,3,4,0,9,0,0,0,0,0,0,9
19,ARUNACHAL PRADESH,2011,Student,3,7,0,0,0,10,1,4,0,0,0,5,15
20,ARUNACHAL PRADESH,2011,Unemployed,0,5,2,0,0,7,1,2,0,0,0,3,10
21,ARUNACHAL PRADESH,2011,Self-employed (Business activity),0,5,1,3,0,9,0,0,0,0,0,0,9
22,ARUNACHAL PRADESH,2011,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
23,ARUNACHAL PRADESH,2011,Farming/Agriculture Activity,0,4,4,3,1,12,0,1,0,0,0,1,13
24,ARUNACHAL PRADESH,2011,Others (Please Specify),1,4,4,4,0,13,3,1,1,0,0,5,18
25,ARUNACHAL PRADESH,2011,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1
26,ARUNACHAL PRADESH,2011,Others (Please Specify),0,0,7,0,0,7,0,0,0,0,0,0,7
27,ARUNACHAL PRADESH,2011,Total,4,38,34,20,3,99,5,19,9,1,1,35,134
28,ARUNACHAL PRADESH,2011,Total Salaried,0,13,16,10,1,40,0,0,0,0,0,0,40
29,ARUNACHAL PRADESH,2011,Total Self-employed,1,13,9,10,1,34,3,2,1,0,0,6,40
30,ASSAM,2011,House Wife,0,0,0,0,0,0,0,175,214,92,9,490,490
31,ASSAM,2011,Service (Government),0,5,13,9,0,27,0,0,1,0,0,1,28
32,ASSAM,2011,Service (Private),0,26,44,16,0,86,0,0,8,4,0,12,98
33,ASSAM,2011,Public Sector Undertaking,0,17,52,22,0,91,1,4,2,1,0,8,99
34,ASSAM,2011,Student,8,152,0,0,0,160,3,81,8,0,0,92,252
35,ASSAM,2011,Unemployed,0,7,15,21,5,48,0,6,5,0,0,11,59
36,ASSAM,2011,Self-employed (Business activity),0,107,110,63,1,281,0,17,22,1,0,40,321
37,ASSAM,2011,Professional Activity,0,28,33,24,0,85,0,0,0,0,0,0,85
38,ASSAM,2011,Farming/Agriculture Activity,0,97,125,70,8,300,0,6,5,0,1,12,312
39,ASSAM,2011,Others (Please Specify),7,154,216,134,20,531,4,69,35,13,3,124,655
40,ASSAM,2011,Retired Person,0,0,0,0,3,3,0,0,0,0,0,0,3
41,ASSAM,2011,Others (Please Specify),5,74,78,49,8,214,2,52,41,15,0,110,324
42,ASSAM,2011,Total,20,667,686,408,45,1826,10,410,341,126,13,900,2726
43,ASSAM,2011,Total Salaried,0,48,109,47,0,204,1,4,11,5,0,21,225
44,ASSAM,2011,Total Self-employed,7,386,484,291,29,1197,4,92,62,14,4,176,1373
45,BIHAR,2011,House Wife,0,0,0,0,0,0,0,71,55,9,3,138,138
46,BIHAR,2011,Service (Government),0,3,5,1,0,9,0,10,9,1,0,20,29
47,BIHAR,2011,Service (Private),0,2,3,3,1,9,0,0,0,0,0,0,9
48,BIHAR,2011,Public Sector Undertaking,0,1,1,1,0,3,0,0,0,0,0,0,3
49,BIHAR,2011,Student,5,27,4,0,0,36,5,28,2,0,0,35,71
50,BIHAR,2011,Unemployed,0,14,22,12,1,49,0,5,2,0,0,7,56
51,BIHAR,2011,Self-employed (Business activity),0,1,4,4,0,9,0,0,0,0,0,0,9
52,BIHAR,2011,Professional Activity,0,2,2,3,0,7,0,0,0,0,0,0,7
53,BIHAR,2011,Farming/Agriculture Activity,0,11,27,19,6,63,0,0,20,0,0,20,83
54,BIHAR,2011,Others (Please Specify),3,21,13,13,4,54,8,9,10,1,0,28,82
55,BIHAR,2011,Retired Person,0,0,0,1,3,4,0,0,0,0,0,0,4
56,BIHAR,2011,Others (Please Specify),8,68,82,31,14,203,28,26,28,8,11,101,304
57,BIHAR,2011,Total,16,150,163,88,29,446,41,149,126,19,14,349,795
58,BIHAR,2011,Total Salaried,0,6,9,5,1,21,0,10,9,1,0,20,41
59,BIHAR,2011,Total Self-employed,3,35,46,39,10,133,8,9,30,1,0,48,181
60,CHHATTISGARH,2011,House Wife,0,0,0,0,0,0,3,384,239,121,28,775,775
61,CHHATTISGARH,2011,Service (Government),0,19,21,5,1,46,1,4,3,0,0,8,54
62,CHHATTISGARH,2011,Service (Private),2,135,120,59,5,321,2,42,31,8,6,89,410
63,CHHATTISGARH,2011,Public Sector Undertaking,0,12,20,29,0,61,0,3,6,2,0,11,72
64,CHHATTISGARH,2011,Student,40,152,9,0,0,201,31,130,0,0,0,161,362
65,CHHATTISGARH,2011,Unemployed,3,182,246,146,15,592,0,18,11,3,2,34,626
66,CHHATTISGARH,2011,Self-employed (Business activity),0,65,81,55,17,218,0,1,4,4,1,10,228
67,CHHATTISGARH,2011,Professional Activity,0,64,51,32,7,154,0,34,16,6,0,56,210
68,CHHATTISGARH,2011,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
69,CHHATTISGARH,2011,Others (Please Specify),16,493,674,530,242,1955,13,220,214,153,57,657,2612
70,CHHATTISGARH,2011,Retired Person,0,5,3,4,7,19,0,0,0,0,0,0,19
71,CHHATTISGARH,2011,Others (Please Specify),41,301,276,221,121,960,36,152,114,79,47,428,1388
72,CHHATTISGARH,2011,Total,102,1428,1501,1081,415,4527,86,988,638,376,141,2229,6756
73,CHHATTISGARH,2011,Total Salaried,2,166,161,93,6,428,3,49,40,10,6,108,536
74,CHHATTISGARH,2011,Total Self-employed,16,622,806,617,266,2327,13,255,234,163,58,723,3050
75,GOA,2011,House Wife,0,0,0,0,0,0,0,18,22,7,9,56,56
76,GOA,2011,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
77,GOA,2011,Service (Private),0,19,25,9,0,53,0,7,1,0,0,8,61
78,GOA,2011,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
79,GOA,2011,Student,3,4,0,0,0,7,2,17,1,0,0,20,27
80,GOA,2011,Unemployed,1,13,12,13,4,43,1,5,2,0,0,8,51
81,GOA,2011,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
82,GOA,2011,Professional Activity,0,2,1,1,0,4,0,1,0,0,0,1,5
83,GOA,2011,Farming/Agriculture Activity,0,0,0,0,1,1,0,0,0,0,0,0,1
84,GOA,2011,Others (Please Specify),1,1,5,4,2,13,0,0,0,0,0,0,13
85,GOA,2011,Retired Person,0,0,0,0,4,4,0,0,0,1,0,1,5
86,GOA,2011,Others (Please Specify),0,13,38,12,7,70,0,3,0,1,0,4,74
87,GOA,2011,Total,5,52,81,39,18,195,3,51,26,9,9,98,293
88,GOA,2011,Total Salaried,0,19,25,9,0,53,0,7,1,0,0,8,61
89,GOA,2011,Total Self-employed,1,3,6,5,3,18,0,1,0,0,0,1,19
90,GUJARAT,2011,House Wife,0,0,0,0,0,0,4,719,512,258,78,1571,1571
91,GUJARAT,2011,Service (Government),0,18,26,16,0,60,0,7,2,2,3,14,74
92,GUJARAT,2011,Service (Private),0,226,226,119,10,581,0,39,31,17,5,92,673
93,GUJARAT,2011,Public Sector Undertaking,0,31,35,24,8,98,0,8,9,9,0,26,124
94,GUJARAT,2011,Student,24,146,8,0,0,178,36,110,2,0,0,148,326
95,GUJARAT,2011,Unemployed,2,163,182,82,14,443,0,24,18,6,0,48,491
96,GUJARAT,2011,Self-employed (Business activity),0,107,130,61,14,312,0,0,1,0,0,1,313
97,GUJARAT,2011,Professional Activity,0,210,185,107,29,531,2,31,24,2,2,61,592
98,GUJARAT,2011,Farming/Agriculture Activity,1,133,189,118,32,473,3,25,35,31,11,105,578
99,GUJARAT,2011,Others (Please Specify),1,214,268,139,31,653,3,58,61,28,8,158,811
100,GUJARAT,2011,Retired Person,0,3,1,29,70,103,0,0,0,11,43,54,157
101,GUJARAT,2011,Others (Please Specify),7,173,148,105,47,480,5,72,60,35,20,192,672
102,GUJARAT,2011,Total,35,1424,1398,800,255,3912,53,1093,755,399,170,2470,6382
103,GUJARAT,2011,Total Salaried,0,275,287,159,18,739,0,54,42,28,8,132,871
104,GUJARAT,2011,Total Self-employed,2,664,772,425,106,1969,8,114,121,61,21,325,2294
105,HARYANA,2011,House Wife,0,0,0,0,0,0,0,203,148,56,9,416,416
106,HARYANA,2011,Service (Government),0,20,28,24,0,72,0,2,5,0,0,7,79
107,HARYANA,2011,Service (Private),0,75,91,22,5,193,0,11,7,2,0,20,213
108,HARYANA,2011,Public Sector Undertaking,0,9,9,2,0,20,0,5,0,0,0,5,25
109,HARYANA,2011,Student,14,105,5,5,0,129,4,47,0,0,0,51,180
110,HARYANA,2011,Unemployed,4,91,146,75,16,332,0,15,11,17,1,44,376
111,HARYANA,2011,Self-employed (Business activity),0,21,29,12,0,62,0,0,0,0,0,0,62
112,HARYANA,2011,Professional Activity,0,8,13,3,0,24,0,0,0,0,0,0,24
113,HARYANA,2011,Farming/Agriculture Activity,0,140,113,74,23,350,0,8,18,8,0,34,384
114,HARYANA,2011,Others (Please Specify),0,80,88,61,13,242,6,5,5,2,0,18,260
115,HARYANA,2011,Retired Person,0,1,0,1,0,2,0,0,0,0,0,0,2
116,HARYANA,2011,Others (Please Specify),52,411,363,162,50,1038,15,84,58,22,7,186,1224
117,HARYANA,2011,Total,70,961,885,441,107,2464,25,380,252,107,17,781,3245
118,HARYANA,2011,Total Salaried,0,104,128,48,5,285,0,18,12,2,0,32,317
119,HARYANA,2011,Total Self-employed,0,249,243,150,36,678,6,13,23,10,0,52,730
120,HIMACHAL PRADESH,2011,House Wife,0,0,0,0,0,0,0,23,29,11,2,65,65
121,HIMACHAL PRADESH,2011,Service (Government),0,1,5,4,0,10,0,0,2,1,0,3,13
122,HIMACHAL PRADESH,2011,Service (Private),0,17,15,8,1,41,0,1,3,1,0,5,46
123,HIMACHAL PRADESH,2011,Public Sector Undertaking,0,6,10,4,1,21,0,2,2,2,1,7,28
124,HIMACHAL PRADESH,2011,Student,2,20,0,0,0,22,3,21,0,0,0,24,46
125,HIMACHAL PRADESH,2011,Unemployed,0,9,7,0,1,17,0,4,2,0,0,6,23
126,HIMACHAL PRADESH,2011,Self-employed (Business activity),0,3,7,7,2,19,0,0,3,1,1,5,24
127,HIMACHAL PRADESH,2011,Professional Activity,0,0,1,2,2,5,0,0,2,0,0,2,7
128,HIMACHAL PRADESH,2011,Farming/Agriculture Activity,0,8,14,10,10,42,0,3,0,1,0,4,46
129,HIMACHAL PRADESH,2011,Others (Please Specify),0,13,10,6,6,35,1,2,9,5,4,21,56
130,HIMACHAL PRADESH,2011,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
131,HIMACHAL PRADESH,2011,Others (Please Specify),3,21,19,5,9,57,1,10,10,8,3,32,89
132,HIMACHAL PRADESH,2011,Total,5,98,88,46,32,269,5,66,62,30,11,174,443
133,HIMACHAL PRADESH,2011,Total Salaried,0,24,30,16,2,72,0,3,7,4,1,15,87
134,HIMACHAL PRADESH,2011,Total Self-employed,0,24,32,25,20,101,1,5,14,7,5,32,133
135,JAMMU & KASHMIR,2011,House Wife,0,0,0,0,0,0,0,22,29,7,0,58,58
136,JAMMU & KASHMIR,2011,Service (Government),0,1,7,1,0,9,0,1,2,1,0,4,13
137,JAMMU & KASHMIR,2011,Service (Private),0,4,3,2,0,9,0,1,1,0,0,2,11
138,JAMMU & KASHMIR,2011,Public Sector Undertaking,0,0,2,2,0,4,0,0,0,0,0,0,4
139,JAMMU & KASHMIR,2011,Student,2,9,2,0,0,13,3,24,0,0,0,27,40
140,JAMMU & KASHMIR,2011,Unemployed,0,2,12,4,0,18,0,15,3,0,0,18,36
141,JAMMU & KASHMIR,2011,Self-employed (Business activity),0,2,6,4,1,13,0,2,0,0,0,2,15
142,JAMMU & KASHMIR,2011,Professional Activity,0,1,2,3,1,7,0,0,0,0,0,0,7
143,JAMMU & KASHMIR,2011,Farming/Agriculture Activity,0,0,3,6,2,11,0,2,0,1,0,3,14
144,JAMMU & KASHMIR,2011,Others (Please Specify),0,9,6,3,1,19,0,13,2,0,1,16,35
145,JAMMU & KASHMIR,2011,Retired Person,0,0,0,2,2,4,0,0,0,0,0,0,4
146,JAMMU & KASHMIR,2011,Others (Please Specify),2,12,10,12,1,37,2,7,2,2,0,13,50
147,JAMMU & KASHMIR,2011,Total,4,40,53,39,8,144,5,87,39,11,1,143,287
148,JAMMU & KASHMIR,2011,Total Salaried,0,5,12,5,0,22,0,2,3,1,0,6,28
149,JAMMU & KASHMIR,2011,Total Self-employed,0,12,17,16,5,50,0,17,2,1,1,21,71
150,JHARKHAND,2011,House Wife,0,0,0,0,0,0,10,70,95,24,7,206,206
151,JHARKHAND,2011,Service (Government),0,4,8,3,0,15,0,2,3,2,0,7,22
152,JHARKHAND,2011,Service (Private),0,25,63,17,0,105,0,6,2,1,0,9,114
153,JHARKHAND,2011,Public Sector Undertaking,7,12,1,0,0,20,1,10,0,0,0,11,31
154,JHARKHAND,2011,Student,3,37,11,0,0,51,6,34,4,0,0,44,95
155,JHARKHAND,2011,Unemployed,0,23,44,17,1,85,0,2,1,2,1,6,91
156,JHARKHAND,2011,Self-employed (Business activity),0,5,11,5,0,21,0,0,0,0,0,0,21
157,JHARKHAND,2011,Professional Activity,0,15,16,17,1,49,0,3,3,0,0,6,55
158,JHARKHAND,2011,Farming/Agriculture Activity,0,19,44,24,3,90,0,2,1,1,0,4,94
159,JHARKHAND,2011,Others (Please Specify),0,35,12,11,4,62,0,8,10,6,0,24,86
160,JHARKHAND,2011,Retired Person,0,1,0,0,6,7,0,0,0,0,0,0,7
161,JHARKHAND,2011,Others (Please Specify),3,148,53,85,31,320,1,52,8,8,1,70,390
162,JHARKHAND,2011,Total,13,324,263,179,46,825,18,189,127,44,9,387,1212
163,JHARKHAND,2011,Total Salaried,7,41,72,20,0,140,1,18,5,3,0,27,167
164,JHARKHAND,2011,Total Self-employed,0,74,83,57,8,222,0,13,14,7,0,34,256
165,KARNATAKA,2011,House Wife,0,0,0,0,0,0,0,585,635,417,139,1776,1776
166,KARNATAKA,2011,Service (Government),0,29,73,57,1,160,0,13,10,5,3,31,191
167,KARNATAKA,2011,Service (Private),0,180,377,159,45,761,1,107,68,35,22,233,994
168,KARNATAKA,2011,Public Sector Undertaking,0,125,114,98,25,362,0,37,22,17,1,77,439
169,KARNATAKA,2011,Student,68,343,10,4,0,425,19,235,21,8,3,286,711
170,KARNATAKA,2011,Unemployed,0,256,362,154,28,800,2,86,14,14,8,124,924
171,KARNATAKA,2011,Self-employed (Business activity),0,191,314,213,52,770,0,25,17,14,0,56,826
172,KARNATAKA,2011,Professional Activity,1,60,48,36,21,166,1,14,6,5,4,30,196
173,KARNATAKA,2011,Farming/Agriculture Activity,0,339,630,527,198,1694,0,127,137,126,16,406,2100
174,KARNATAKA,2011,Others (Please Specify),6,438,725,558,171,1898,3,183,122,104,36,448,2346
175,KARNATAKA,2011,Retired Person,0,0,0,9,46,55,0,0,2,3,3,8,63
176,KARNATAKA,2011,Others (Please Specify),145,365,391,284,196,1381,62,200,209,127,77,675,2056
177,KARNATAKA,2011,Total,220,2326,3044,2099,783,8472,88,1612,1263,875,312,4150,12622
178,KARNATAKA,2011,Total Salaried,0,334,564,314,71,1283,1,157,100,57,26,341,1624
179,KARNATAKA,2011,Total Self-employed,7,1028,1717,1334,442,4528,4,349,282,249,56,940,5468
180,KERALA,2011,House Wife,0,0,0,0,0,0,0,238,396,320,260,1214,1214
181,KERALA,2011,Service (Government),0,3,22,29,0,54,0,2,6,4,1,13,67
182,KERALA,2011,Service (Private),0,79,139,119,17,354,0,27,34,17,0,78,432
183,KERALA,2011,Public Sector Undertaking,0,6,20,25,0,51,0,0,1,1,0,2,53
184,KERALA,2011,Student,28,61,0,0,0,89,32,125,0,0,0,157,246
185,KERALA,2011,Unemployed,0,94,165,117,54,430,0,54,40,10,11,115,545
186,KERALA,2011,Self-employed (Business activity),0,42,119,141,51,353,0,0,1,6,0,7,360
187,KERALA,2011,Professional Activity,0,26,71,43,15,155,0,7,3,2,0,12,167
188,KERALA,2011,Farming/Agriculture Activity,0,101,215,230,186,732,0,21,25,34,18,98,830
189,KERALA,2011,Others (Please Specify),0,339,704,732,442,2217,2,73,103,75,40,293,2510
190,KERALA,2011,Retired Person,0,0,1,41,56,98,0,0,0,2,4,6,104
191,KERALA,2011,Others (Please Specify),1,176,444,732,326,1679,2,41,51,74,56,224,1903
192,KERALA,2011,Total,29,927,1900,2209,1147,6212,36,588,660,545,390,2219,8431
193,KERALA,2011,Total Salaried,0,88,181,173,17,459,0,29,41,22,1,93,552
194,KERALA,2011,Total Self-employed,0,508,1109,1146,694,3457,2,101,132,117,58,410,3867
195,MADHYA PRADESH,2011,House Wife,0,0,0,0,0,0,14,1403,863,305,147,2732,2732
196,MADHYA PRADESH,2011,Service (Government),0,20,44,31,0,95,0,10,5,2,0,17,112
197,MADHYA PRADESH,2011,Service (Private),0,166,198,115,17,496,0,45,21,8,1,75,571
198,MADHYA PRADESH,2011,Public Sector Undertaking,0,37,57,23,8,125,2,15,16,3,1,37,162
199,MADHYA PRADESH,2011,Student,53,202,10,0,0,265,39,139,8,0,0,186,451
200,MADHYA PRADESH,2011,Unemployed,6,107,80,15,5,213,6,32,9,3,0,50,263
201,MADHYA PRADESH,2011,Self-employed (Business activity),0,156,177,90,32,455,0,5,1,3,0,9,464
202,MADHYA PRADESH,2011,Professional Activity,0,103,57,56,32,248,0,6,5,6,2,19,267
203,MADHYA PRADESH,2011,Farming/Agriculture Activity,10,366,446,184,126,1132,6,84,84,15,5,194,1326
204,MADHYA PRADESH,2011,Others (Please Specify),44,485,416,252,129,1326,58,194,142,54,20,468,1794
205,MADHYA PRADESH,2011,Retired Person,0,5,0,2,13,20,0,16,3,3,1,23,43
206,MADHYA PRADESH,2011,Others (Please Specify),43,330,274,148,70,865,38,107,30,27,7,209,1074
207,MADHYA PRADESH,2011,Total,156,1977,1759,916,432,5240,163,2056,1187,429,184,4019,9259
208,MADHYA PRADESH,2011,Total Salaried,0,223,299,169,25,716,2,70,42,13,2,129,845
209,MADHYA PRADESH,2011,Total Self-employed,54,1110,1096,582,319,3161,64,289,232,78,27,690,3851
210,MAHARASHTRA,2011,House Wife,0,0,0,0,0,0,10,1863,1152,429,262,3716,3716
211,MAHARASHTRA,2011,Service (Government),0,35,74,59,2,170,0,13,10,2,0,25,195
212,MAHARASHTRA,2011,Service (Private),1,633,738,363,62,1797,0,82,46,8,1,137,1934
213,MAHARASHTRA,2011,Public Sector Undertaking,0,19,33,21,3,76,0,5,4,1,0,10,86
214,MAHARASHTRA,2011,Student,33,441,7,0,0,481,60,437,10,0,0,507,988
215,MAHARASHTRA,2011,Unemployed,0,299,203,71,18,591,3,50,7,6,1,67,658
216,MAHARASHTRA,2011,Self-employed (Business activity),0,168,248,150,12,578,0,11,14,7,0,32,610
217,MAHARASHTRA,2011,Professional Activity,0,209,288,185,68,750,0,20,7,8,1,36,786
218,MAHARASHTRA,2011,Farming/Agriculture Activity,2,727,1186,808,370,3093,1,123,92,19,9,244,3337
219,MAHARASHTRA,2011,Others (Please Specify),7,808,995,565,346,2721,5,110,71,51,18,255,2976
220,MAHARASHTRA,2011,Retired Person,0,4,6,16,118,144,0,0,0,1,2,3,147
221,MAHARASHTRA,2011,Others (Please Specify),3,134,182,111,56,486,1,14,9,2,2,28,514
222,MAHARASHTRA,2011,Total,46,3477,3960,2349,1055,10887,80,2728,1422,534,296,5060,15947
223,MAHARASHTRA,2011,Total Salaried,1,687,845,443,67,2043,0,100,60,11,1,172,2215
224,MAHARASHTRA,2011,Total Self-employed,9,1912,2717,1708,796,7142,6,264,184,85,28,567,7709
225,MANIPUR,2011,House Wife,0,0,0,0,0,0,0,6,2,1,0,9,9
226,MANIPUR,2011,Service (Government),0,0,4,1,0,5,0,0,0,0,0,0,5
227,MANIPUR,2011,Service (Private),0,0,1,0,0,1,0,0,0,0,0,0,1
228,MANIPUR,2011,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
229,MANIPUR,2011,Student,0,4,0,0,0,4,0,0,0,0,0,0,4
230,MANIPUR,2011,Unemployed,0,1,4,1,0,6,0,0,0,0,0,0,6
231,MANIPUR,2011,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
232,MANIPUR,2011,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
233,MANIPUR,2011,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
234,MANIPUR,2011,Others (Please Specify),0,0,0,1,0,1,0,1,0,0,0,1,2
235,MANIPUR,2011,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
236,MANIPUR,2011,Others (Please Specify),0,1,0,0,0,1,0,5,0,0,0,5,6
237,MANIPUR,2011,Total,0,6,9,3,0,18,0,12,2,1,0,15,33
238,MANIPUR,2011,Total Salaried,0,0,5,1,0,6,0,0,0,0,0,0,6
239,MANIPUR,2011,Total Self-employed,0,0,0,1,0,1,0,1,0,0,0,1,2
240,MEGHALAYA,2011,House Wife,0,0,0,0,0,0,0,5,8,2,0,15,15
241,MEGHALAYA,2011,Service (Government),0,2,3,1,0,6,0,0,0,0,0,0,6
242,MEGHALAYA,2011,Service (Private),0,6,1,0,0,7,0,0,1,0,0,1,8
243,MEGHALAYA,2011,Public Sector Undertaking,0,0,1,0,1,2,0,0,0,0,0,0,2
244,MEGHALAYA,2011,Student,3,25,0,0,0,28,0,9,0,0,0,9,37
245,MEGHALAYA,2011,Unemployed,0,12,6,0,0,18,0,1,2,0,0,3,21
246,MEGHALAYA,2011,Self-employed (Business activity),0,3,2,5,0,10,0,0,0,0,0,0,10
247,MEGHALAYA,2011,Professional Activity,0,4,0,0,0,4,0,0,0,2,0,2,6
248,MEGHALAYA,2011,Farming/Agriculture Activity,0,6,6,3,1,16,0,4,2,0,0,6,22
249,MEGHALAYA,2011,Others (Please Specify),0,4,3,3,0,10,0,1,0,1,2,4,14
250,MEGHALAYA,2011,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
251,MEGHALAYA,2011,Others (Please Specify),1,5,3,1,0,10,1,1,0,0,0,2,12
252,MEGHALAYA,2011,Total,4,67,25,13,2,111,1,21,13,5,2,42,153
253,MEGHALAYA,2011,Total Salaried,0,8,5,1,1,15,0,0,1,0,0,1,16
254,MEGHALAYA,2011,Total Self-employed,0,17,11,11,1,40,0,5,2,3,2,12,52
255,MIZORAM,2011,House Wife,0,0,0,0,0,0,0,0,5,1,0,6,6
256,MIZORAM,2011,Service (Government),0,0,1,3,0,4,0,0,0,0,0,0,4
257,MIZORAM,2011,Service (Private),0,0,3,0,0,3,0,0,0,0,0,0,3
258,MIZORAM,2011,Public Sector Undertaking,0,0,0,0,0,0,0,1,0,0,0,1,1
259,MIZORAM,2011,Student,2,10,0,0,0,12,0,1,0,0,0,1,13
260,MIZORAM,2011,Unemployed,0,15,11,0,0,26,0,1,0,0,0,1,27
